ADOUBEMENT	Cérémonie au cours de laquelle on fait d’un homme un chevalier.
ADRESSABLE	Se dit d’une mémoire qui utilise un système d’adresses uniques pour le stockage d’information.
ADRIATIQUE	Relatif à la mer Adriatique.
ADSORPTION	Fixation en surface d’un gaz sur un solide.
ADULATRICE	Celle qui adule.
ADULESCENT	Relatif aux personnes adultes exprimant des traits de personnalité associés à l’adolescence.
ADVENTISTE	Relatif à l'adventisme.
ADVERSAIRE	Surnom de Satan.
ADVERSATIF	Qualifie une conjonction qui marque une opposition, une différence entre ce qui la précède et ce qui la suit.
ADYNAMIQUE	Qui a le caractère de l’adynamie.
AFFAIRISME	Activité, comportement des affairistes.
AFFAIRISTE	Relatif à l’affairisme.
AFFALEMENT	Fait d’être affalé.
AFFECTABLE	Qui peut être affecté
AFFECTUEUX	Qui montre de l’affection, de l’amour.
AFFERMABLE	Qui peut être affermé
AFFICHABLE	Qui peut être affiché.
AFFICHETTE	Petite affiche.
AFFICHEUSE	Épouse d’un afficheur.
AFFICHISTE	Dessinateur d’affiches.
AFFILEMENT	Action d'affiler ; résultat de cette action.
AFFINEMENT	Action d’affiner ou état de ce qui est affiné.
AFFIRMATIF	Oui.
AFFLEURAGE	Action de délayer la pâte du papier.
AFFLEURANT	Qualifiait une pile de pâte à papier qui se délaie.
AFFLICTION	Grand malheur ; catastrophe.
AFFLIGEANT	Qui afflige.
AFFOLANTES	Ensemble de maisons de villégiature situé dans une partie de la vallée de la Seine au sud du département de la Seine-et-Marne.
AFFOLEMENT	État d’une personne affolée.
AFFOUILLER	Creuser, en parlant de l’action des eaux courantes qui creusent le lit et les berges d’une rivière.
AFFOURAGER	Alimenter en fourrage.
AFFOURCHER	Placer à califourchon.
AFFRANCHIE	Habitante de La Francheville, commune française située dans le département des Ardennes.
AFFRANCHIR	Informer.
AFFRIANDER	Rendre friand.
AFFRIOLANT	Qui affriole.
AFFRONTEUR	Celui qui trompe.
AFICIONADO	Amateur de corrida.
AFLATOXINE	Groupe de 18 mycotoxines de structures moléculaires très proches. Elles sont produites par des champignons microscopiques du genre Aspergillus proliférant sur des graines conservées en atmosphère chaude et humide. Ces toxines provoquent un empoisonnement nommé aflatoxicose.
AFRICANITE	Sorte de maladie qui aurait frappé les colonisateurs européens de l'Afrique et qui était donnée comme explication à leurs comportements.
AFTERSHAVE	Après-rasage.
AGENCEMENT	Action d’agencer ou résultat de cette action.
AGGLUTINER	Accoler.
AGISSEMENT	Manière de faire, action, acte.
AGITATRICE	Personne ou appareil qui agite.
AGNOSTIQUE	Qui peut s’adapter aux composants avec lesquels il interagit.
AGONISANTE	Celle qui est à l’agonie.
AGORAPHOBE	Souffrant d’agoraphobie.
AGRESSEUSE	Celle qui agresse.
AGROCHIMIE	Chimie appliquée aux besoins de l’agriculture pour la production d’engrais, de pesticides, d’herbicides, etc.
AGUEUSIQUE	Relatif à l’agueusie.
AGUICHEUSE	Femme qui aguiche.
AHURISSANT	Incroyable.
AIGREMOINE	Rosacée à fleurs jaunes disposées en épis et à feuilles ailées.
AIGUILLAGE	Changement d’itinéraire physique ou mental.
AIGUILLEUR	Personne chargée de réguler le contrôle aérien.
AIGUILLIER	Étui à aiguilles.
AIGUISABLE	Que l’on peut aiguiser.
AIGUISEUSE	Celle dont l’activité est d’aiguiser.
AINDINOISE	Habitante du département de l’Ain.
AJOURNABLE	Qui peut ou doit être ajourné.
AJUSTEMENT	Habillement, parure.
AKKADIENNE	Habitante d’Akkad.
ALABANDINE	Alabandite.
ALABANDITE	Sulfure de natif.
ALABASTRIN	Qui ressemble à l'albâtre.
ALAMBIQUER	Distiller.
ALBERTAINE	Citoyenne de la province d’Alberta au Canada.
ALBUMINEUX	Qui contient de l’albumine.
ALCHIMIQUE	Qui a rapport à l’alchimie.
ALCHIMISTE	Celui qui s’occupait d’alchimie.
ALCOOLIQUE	Relatif à l’alcool.
ALCOOLISER	Mêler de l’alcool à un autre liquide, rendre alcoolique.
ALCOOLISME	Maladie produite par la consommation régulière et excessive de boissons alcoolisées.
ALCOOLOGIE	Science s’intéressant à la prévention, la thérapeutique et l’évaluation de l’addictologie à l’alcool.
ALCOOLOGUE	Médecin, psychiatre qui soigne les comportements de dépendance à l’alcool.
ALCYONAIRE	Sous-classe des anthozoaires.
ALDOHEXOSE	Ose composé de six atomes de carbone (hexose) et dont le premier atome possède une fonction aldéhyde (aldose).
ALERTEMENT	D’une manière alerte.
ALEXANDRIN	Vers de douze syllabes.
ALGOLAGNIE	Sexualité qui mélange érotisme et souffrance.
ALGONQUIEN	Relatif à la grande famille de nations des Algonquiens.
ALGONQUINE	Femme algonquine, de la tribu amérindienne des Algonquins.
ALGORITHME	Façon de raisonner.
ALIBOUFIER	Nom vulgaire du styrax officinal, arbre qui fournit le baume appelé styrax.
ALIGNEMENT	Action d’aligner.
ALKYLATION	Introduction d'un groupe hydrocarboné monovalent non aromatique dans une espèce chimique.
ALLANTOINE	Substance neutre, de formule brute , qui existe dans le liquide allantoïque de la vache, par l’évaporation duquel on l’obtient. Elle a été aussi appelée acide allantoïque.
ALLERGIQUE	Relatif aux allergies.
ALLOCATION	Article passé et approuvé.
ALLOCHTONE	Personne non autochtone.
ALLOCUTION	Harangue des généraux, des empereurs romains aux soldats.
ALLOGREFFE	Greffe d’un organe provenant d’un individu génétiquement différent issu de la même espèce.
ALLOPATHIE	Dans le contexte des médecines alternatives, est utilisé pour désigner sans la nommer la médecine conventionnelle, fondée sur les preuves.
ALLOPATRIE	Situation où plusieurs populations vivent dans des zones géographiques séparées, empêchant les échanges génétiques entre elles.
ALLOTROPIE	Qualité de corps simples pouvant se présenter sous des états différents, et jouir de propriétés physiques et chimiques très distinctes.
ALMASILIUM	Alliage utilisé pour la fabrication des bidons de lait.
