ABAISSER	Se baisser.
ADIPIQUE	Relatif à ou dérivé d’huile ou de substance grasse.
ADJACENT	Qui est situé auprès.
ADJECTIF	Se dit d’un mot qui désigne une qualité ou une propriété d’une substance, par opposition au nom substantif qui désigne la substance elle-même.
ADJOINTE	Celle qui est adjointe à une personne pour certaines fonctions.
ADJUDANT	Grade des Forces armées canadiennes. Le code OTAN : OR-7.
ADJUVANT	Qui aide.
ADMETTRE	Autoriser ; permettre.
ADMIRANT	Qui admire.
ADONNAIS	Habitant d’Adon, commune française située dans le département du Loiret.
ADOPTANT	Qui adopte quelqu’un légalement.
ADOPTIEN	Relatif à l’adoptianisme, adoptianiste.
ADOPTION	Action d’adopter.
ADORABLE	Qui est digne d’être adoré.
ADRAGANT	Gomme que l'on tire de plusieurs arbrisseaux du genre des astragales.
ADRESSER	Toucher droit où l’on vise.
ADSORBAT	Ensemble de molécules adsorbées.
ADSORBER	Fixer par adsorption.
ADULAIRE	Qualifie l’adulaire en tant qu’orthose.
ADVENTIF	Qualifie des bourgeons se formant sur un bois stressé ou coupé.
ADVERBAL	Qui est lié au verbe, qui dépend du verbe.
ADYNAMIE	État morbide, caractérisé par l’abattement de la physionomie, la flaccidité des chairs, la difficulté du mouvement ou son impossibilité, l’affaiblissement des sensations, etc.
AEGOSOME	Coléoptère longicorne cérambycidé.
AEGYRINE	Aegirine.
AETHUSES	Orthographe par contrainte typographique d’æthuses.
AFFAIBLI	En parlant d’une sensation, d’un sentiment, d’une perception : diminué, atténué.
AFFAIRER	Absorber par les affaires.
AFFAIRES	Règles, menstrues.
AFFAMANT	Qui prive de nourriture.
AFFAMEUR	Exploiteur.
AFFECTER	Modifier de quelque manière.
AFFECTIF	Tendre, affectueux.
AFFENAGE	Point de vente du fourrage.
AFFERMER	Donner à ferme ou prendre à ferme.
AFFERMIR	Rendre stable.
AFFIANTE	Celle qui fait une déclaration sous serment.
AFFICHER	Apposer une affiche.
AFFILAGE	Action d’affiler un outil.
AFFILEUR	Celui qui affile, donne du fil aux outils tranchants.
AFFILIER	Entrer dans un groupement, une association.
AFFILOIR	Pince qui, autrefois, servait à tenir la lame tranchante qui était utiliser pour raturer les parchemins.
AFFINAGE	Action d’affiner : purifier, éliminer des éléments indésirables.
AFFINEUR	Celui qui affine le verre.
AFFINOIR	Instrument au travers duquel on fait passer le lin ou le chanvre pour l’affiner.
AFFIQUET	Parure.
AFFIRMER	Assurer fermement.
AFFLIGER	Se désoler ; s’attrister.
AFFLOUER	Renflouer.
AFFLUENT	Cours d’eau qui se jette dans un autre.
AFFOLANT	Qui affole.
AFFOUAGE	Droit de prendre du bois dans une forêt communale.
AFFUBLER	Couvrir ; recouvrir.
AFFUSION	Moyen thérapeutique qui consiste à verser en nappe une certaine quantité d'eau sur une partie du corps.
AFFUTAGE	Action d’affuter un outil.
AFRICAIN	Nord-Africain.
AFROBEAT	Mélange de musique traditionnelle nigériane, de jazz, de highlife, de funk, et de chant accompagné de percussions et de styles vocaux, popularisé en Afrique dans les années 1970.
AGACERIE	Manières ou paroles par lesquelles on cherche à attirer l’attention de quelqu’un. — Il s’emploie surtout en parlant des femmes.
