ABAISSER	Se baisser.
COPIABLE	Dont on peut faire des reproductions légalement reproductible.
COPIEUSE	Écolière qui copie, femme qui plagie.
COPILOTE	Membre d’une équipe chargée de piloter un projet.
COPINAGE	Complicité, fait d’être copains.
COQUEBIN	Jeune homme nigaud, innocent.
COQUELET	Jeune coq.
COQUELLE	Récipient en terre.
COQUEMAR	Pot de terre vernissée, ou de métal, pourvu d’une anse, et servant ordinairement à faire bouillir ou chauffer de l’eau, de la tisane ou d’autres liquides.
COQUERET	Physalis.
COQUERIE	Nom de famille.
COQUERON	Nom de petites meules.
COQUETEL	Réunion mondaine.
COQUETER	Glousser avant de pondre, en parlant de la poule.
COQUETTE	Variété de laitue.
COQUILLE	Enfance.
COQUINET	Petit coquin, canaille.
CORALLIN	Qui est rouge comme le corail.
CORBEAUX	Peuple siouen, apparenté aux Gros Ventres, et vivant dans les États américains actuels du Montana et du Wyoming.
CORDELAT	Étoffe de laine grossière.
CORDELER	Tresser ; mettre en forme de corde.
CORDELLE	Commune française, située dans le département de la Loire.
CORDERIE	Fabrique de cordes, de cordages.
CORDEUSE	Femme dont le métier consiste à corder les raquettes de tennis.
CORDISTE	Relatif à la théorie des cordes.
CORDONAL	Relatif au cordon (cordon spermatique, ombilical, etc.).
CORDOUAN	Habitant ou natif de la ville de Cordoue, en Espagne.
CORFIOTE	Habitant de l’île grecque de Corfou.
CORICIDE	Lotion servant à soigner les cors aux pieds, généralement à base d’acide salicylique.
CORINDON	Autre nom du corinde ou cardiosperme.
CORINTHE	Cépage de raisin Grec consommé séché.
CORMORAN	(au sens étroit) Variante de grand cormoran.
CORNARDE	Celle dont le ou la partenaire est infidèle.
CORNETTE	Coquillette. ()
CORNEUSE	Celle qui corne.
CORNIAUD	Chien sans race.
CORNICHE	Route qui surplombe un à-pic.
CORNIQUE	Habitant des Cornouailles.
CORNISTE	Musicien ou musicienne instrumentiste qui joue du cor.
CORONALE	Atmosphère extérieure du Soleil, au dessus de la chromosphère.
COROSSOL	Fruit du corossolier (Annona muricata), variété d’annone à la chair comestible blanche et pulpeuse aux graines noires indigestes, au goût à la fois sucré et acidulé.
CORPORAL	Linge que le prêtre étend au milieu de l’autel au commencement de la messe pour y poser le calice et l’hostie. Il sert également pour poser l’ostensoir, au moment de la bénédiction.
CORPOREL	Qui a un corps.
CORPSARD	Ingénieur-élève issu principalement de l'École polytechnique qui, après sélection et formation complémentaire, appartient au cercle étroit des ingénieurs du corps des Mines.
CORRIDOR	Espace géographique utilisé pour se déplacer entre deux lieux.
CORRIGER	Réparer.
CORRODER	Ronger.
CORROSIF	Substance corrosive.
CORROYER	Malaxer, pétrir avec de l'eau.
CORSAIRE	Pirate.
CORSELET	Cuirasse que portaient certaines troupes.
CORSETER	Revêtir d’un corset.
CORTICAL	Qui est relatif à l'écorce.
CORTISOL	Hormone du stress produite dans les glandes surrénales.
CORVETTE	Bâtiment de guerre intermédiaire entre la frégate et le brick.
COSIGNER	Signer une œuvre, un écrit avec une ou plusieurs autres personnes.
COSMIQUE	Relatif à l’univers.
COSSARDE	Femme paresseuse, fainéante.
COSSETTE	Petites bottes de racines de chicorée.
COSTAUDE	Femme forte, robuste.
COSTUMER	Revêtir d’un certain costume.
COTATION	Opération permettant de noter ou de classer.
COTHURNE	Camarade de chambrée ou de cellule.
COTICULE	Sorte de schiste métamorphique de la région de Vielsalm en Belgique, anciennement utilisé comme pierre à aiguiser les rasoirs, et actuellement pour l’affutage des tranchants de précision.
COTIDALE	, .
COTIGNAC	Commune française, située dans le département du Var.
COTILLON	Cotte ou jupe de dessous.
COTISANT	Personne qui cotise à une association, une mutuelle, un syndicat, etc.
COTONNER	Couvrir avec du coton, ou comme avec du coton.
COTONOIS	Habitant de Cotonou.
COTRIADE	Recette bretonne de soupe de poissons.
COTUTEUR	Homme qui exerce une tutelle conjointement à une ou plusieurs autres personnes.
COUCHAGE	Marcottage.
COUCHANT	Qui se couche.
COUCHEUR	Personne qui couche.
COUCHOIR	Endroit où dormir.
COUCHURE	Fixage du fil au bord du dessin dans la fabrication de la dentelle.
COUDOYER	Être coude à coude.
COUDRAIE	Lieu planté de coudriers, de noisetiers.
COUDRAIS	Habitant de Coudres, commune française située dans le département de l’Eure.
COUDRIER	Nom de famille.
COUFIQUE	Écriture arabe à caractères anguleux et rigides.
COUGOUAR	Autre nom du puma.
COUILLON	Testicule, .
COULANTE	Diarrhée.
COULEURS	Synonyme de drapeau. S’emploie uniquement au pluriel dans ce sens.
COULISSE	Réunion des coulissiers.
COULOIRE	Sorte de passoire pour égoutter les fromages.
COULOMBS	Commune française, située dans le département d’Eure-et-Loir.
COUMAROU	Un des noms vernaculaires de Dipteryx odorata et de Dipteryx alata et de quelques autres arbres du genre Dipteryx de la famille des Fabaceae (Fabacées), qui produisent la fève tonka.
COUPABLE	Personne qui a commis quelque faute, quelque crime.
COUPANTE	Raccourci hors piste entre deux virages dans une épreuve de descente à vélo tout terrain.
COUPELLE	Ce qui a la forme d’une petite coupe.
COUPERET	Événement inévitable.
COUPETTE	Petite coupe.
COUPLAGE	Raccordement d’une centrale électrique au réseau.
COUPLEUR	Ce qui permet de coupler.
COURANTE	Diarrhée.
COURATER	Courir après.
COURBAGE	Action de courber.
COURBATU	Qui ressent une lassitude extrême dans tout le corps.
COURBINE	Maigre, poisson marin de l'Atlantique et de la Méditerranée. D’autres poissons de la famille des sciænidés comme Genyonemus lineatus, la Courbine blanche, portent également ce nom vernaculaire ambigu.
COURBURE	Forme d’une chose courbée.
COURETTE	Course-poursuite.
COUREUSE	Celle qui aime à séduire en quantité.
COURLIEU	Ancien nom vernaculaire du courlis, nom qui survit essentiellement aujourd'hui dans le nom standard d’une des espèces de courlis, le courlis corlieu (Numenius phaeopus).
COURONNE	Symbole de l’État.
COURRIEL	Adresse courriel.
COURRIER	Titre de certains journaux.
COURROIE	Bande souple pour le transport des matières.
COURROUX	Commune du canton du Jura en Suisse.
COURSIER	Cheval grand et beau.
COURSIVE	Dans une prison, désigne un couloir bordé de cellules.
COURTAGE	Opérations de bourse d’un courtier.
COURTAUD	Commis de boutique.
COURTIER	Intermédiaire qui agit sur les marchés financiers pour le compte de tiers ; intermédiaire qui met en relation deux parties pour qu’elles contractent.
COURTILS	Commune française du département de la Manche.
COURTINE	Tas de fumier.
COURTISE	Action par laquelle on courtise.
COURTOIS	Nom de famille français.
COUSCOUS	Phalanger.
COUSETTE	Jeune couturière.
COUSEUSE	Couturière.
COUSINER	Être cousin avec.
COUTELAS	Grand couteau de cuisine.
COUTURER	Coudre.
COUTURES	Commune française, située dans le département de la Gironde.
COUVERTE	Couvercle.
COUVEUSE	Poule qui couve.
COUVRANT	Qui couvre.
COUVREUR	Nom de famille
COUVRURE	Couverture d'un ouvrage
COVALENT	Relatif à la covalence.
COVENANT	Convention, accord, dans un contexte commercial anglo-saxon.
COVOLUME	Volume minimal d’un gaz soumis à une pression théoriquement infinie.
COXALGIE	Douleur de la hanche.
CRABOTER	Emboîter (des pièces l’une dans l’autre), grâce à des dents et des trous prévus pour cela.
CRACHEUR	Celui qui crache souvent.
CRACHOIR	Tube en métal avec couvercle que l’on porte avec soi pour y cracher.
CRACKING	Fait de cracker (un mot de passe, une clé de sécurité, un logiciel, etc…).
CRADOQUE	Sale, crasseux.
CRAIGNOS	Qui craint.
CRAILLER	Cracher salement.
CRAINDRE	Respecter, révérer.
CRAINTIF	Qui est sujet à la crainte.
CRAMCRAM	Nom vernaculaire de Cenchrus biflorus et de Cenchrus echinatus , graminées africaines dont l'épillet épineux s'accroche aux tissus, sa graine est comestible.
CRAMIQUE	Pain brioché au raisin sec.
CRAMOISI	Quelque chose ou quelqu’un qui est très rouge.
CRAMPANT	Drôle, tordant.
CRAMPONS	Paire de chaussures de sport équipées de crampons.
CRANTAGE	Action de faire des crans.
CRANTEUR	Qui permet de cranter une matière comme le tissu, la découper en forme de dentelures.
CRAPAUDE	Femelle du crapaud.
CRAPETTE	Jeu de cartes se jouant à deux joueurs dont le but est de ne plus avoir de cartes.
CRAPOTER	Faire jouer sa bouche pour faire entrer la fumée dans la bouche, sans qu’elle entre dans les poumons, puis la recracher.
CRAQUAGE	Action de craquer ou de faire craquer.
CRAQUANT	Qui craque, fait crac.
CRAQUEUR	Menteur, hâbleur ; qui raconte des craques.
CRASSANE	Sorte de poire fondante et d’un goût délicat.
CRASSEUX	Peigne.
CRASSIER	Commune du canton de Vaud en Suisse.
CRAVACHE	Tige flexible ayant la forme d’une badine, dont se sert le cavalier pour frapper sa monture.
CRAVATER	Étrangler.
CRAWLEUR	Nageur spécialiste du crawl.
CRETONNE	Sorte de toile très forte, soit en coton, ou à chaîne de chanvre et trame de lin.
CREUSAGE	Action de creuser.
CREUSAIS	Habitant de La Creuse, commune française située dans le département de la Haute-Saône.
CREUSEUR	Personne employée dans des mines illégales.
CREUSOIS	Relatif au département de la Creuse, en France, ou à ses habitants, les Creusois.
CREUSURE	Toute cavité nettement plus large que profonde retrouvée dans un objet fabriqué de nature diverse.
CREVARDE	Mort.
CREVASSE	De crevasser.
CREVETTE	Chérie.
CREVOTER	Dépérir peu à peu.
CRIBLAGE	Action de passer au crible.
CRIBLEUR	Celui qui crible.
CRIBLURE	Mauvais grain et résidus qui sont séparés du bon grain par le crible.
CRIMINEL	Condamnable, illicite.
CRINCRIN	Violon.
CRIQUAIS	Habitant de La Crique, commune française située dans le département de la Seine-Maritime.
CRISEUSE	Celle qui est sujette aux crises, qui cède vite à la colère.
CRISPANT	Agaçant, énervant.
CRISSANT	Qui crisse.
CRITIQUE	Essentiel, déterminant.
CROASSER	Médire de façon particulièrement désagréable.
CROCHEUR	Qui croche, tenace, travailleur.
CROISADE	Croisement.
CROISAIS	Habitant de Le Cros, commune française située dans le département de l’Hérault.
CROISEUR	Bâtiment de guerre, de combat, de grande taille.
CROISURE	Tissure d’une étoffe croisée.
CROMALIN	Tout type d’épreuve en couleurs utilisée pour les bons à tirer, aujourd’hui sous la forme d’un fichier informatique (généralement PDF).
CROMLECH	Monument des âges préhistoriques formé d’une suite de menhirs disposés en cercle.
CROMORNE	Contrebasse du hautbois à l’époque baroque.
CROQUANT	Habitant de Crocq, commune française située dans le département de la Creuse.
CROQUEUR	Celui qui croque, qui mange.
CROSKILL	Appareil traîné pour travailler le sol et en briser les mottes grace à des roues dentées.
CROSSMAN	Pilote de motocross.
CROTCHON	: l'entame du pain.
CROTTEUX	Qui a des excréments sur lui, sale, boueux.
CROUILLE	Coquin, espiègle.
CROULANT	Qui croule.
CROUPADE	Saut où le cheval relève les pieds de derrière jusque sous le ventre.
CROUPIER	Personne qui tient le jeu, paie et ramasse l’argent, dans un casino, une maison de jeu.
CROUPION	Saillie postérieure des oiseaux.
CROYABLE	Substantivement.
CROYANCE	Une telle connaissance affirmée dans une religion.
CROYANTE	Celle qui croit ce que sa religion enseigne.
CRUCHADE	Bouillie de maïs.
CRUCIFIX	Représentation par l’image, la statuaire, etc., de Jésus-Christ crucifié.
CRUZEIRO	Monnaie du Brésil de 1942 à 1986 et de 1990 à 1993. Son symbole est ₢ (Unicode U+20A2).
CRYOLITE	Espèce minérale composée de fluorure double de sodium et d’aluminium, que l’on trouve en Alaska, Oural, au Groenland etc ; sa formule est . Anciennement utilisé pour la préparation de l’aluminium.
CRYOSTAT	Appareil permettant de maintenir une température très basse.
CRYOTRON	Ancien composant électronique reposant sur la supraconductivité, qui pouvait servir de commutateur ou d’amplificateur de signal.
CRYPTAGE	Chiffrement.
CRYPTANT	Autre orthographe de cryptand.
CUBATURE	Action de cuber.
CUBERDON	Cône de signalisation, cône de chantier.
CUBITALE	Ellipse de nervule cubitale.
CUCHAULE	Pâtisserie originaire du canton de Fribourg, en Suisse. Il s'agit d'une sorte de brioche au lait dont la couleur jaune provient du safran.
CUEILLIR	Prendre.
CUIRASSE	Défaut, point de vulnérabilité, point faible.
CUIRETTE	Matière textile synthétique imitant le cuir.
CUISINER	Préparer à manger ; faire la cuisine.
CUISSAGE	Dépucelage.
CUISSARD	Culotte collante d’un cycliste.
CUISSEAU	Cuisse de cerf, de chevreuil de sanglier, etc.
CUIVRAGE	Action de cuivrer.
CUIVREUX	Qui comporte du cuivre.
CULBUTER	Rejeter en désordre.
CULICIDE	Nom d’une famille d’insectes ayant pour type le genre cousin.
CULMINER	Atteindre un maximum.
CULOTTER	Vêtir d’une culotte.
CULTISME	Recherche de style, écriture précieuse, à la mode chez certains écrivains espagnols du XVII siècle.
CULTIVAR	Ensemble des individus d’une espèce de plante cultivée, qui résulte d’une sélection et qui peut être génétiquement reproduit à l’identique.
CULTIVER	Entretenir avec soin.
CULTURAL	Qui est propre à la culture des terres et des sols, à l’agriculture.
CULTUREL	Relatif à la culture.
CULTURES	Commune française, située dans le département de la Lozère.
CUMULANT	Qui cumule les mandats.
CUMULARD	Celui qui cumule les emplois, fonctions, salaires, etc.
CUNICOLE	Relatif à la cuniculture, l’élevage des lapins.
CUPRIQUE	Qui a rapport au cuivre, qui contient du cuivre.
CURARINE	Principe extrait du curare.
CURATEUR	Celui qui gère une collection d’œuvres d’art.
CURETAGE	Opération chirurgicale par laquelle on nettoie certains organes intérieurs, surtout chez les femmes.
CURIEUSE	Femme qui est curieuse.
CURLEUSE	Joueuse de curling.
CUTICULE	Petite peau très mince, pellicule, épiderme.
CUVAISON	Action de cuver.
CUVELAGE	Ce tube lui-même.
CYANELLE	Chloroplaste des glaucophytes (algues unicellulaires).
CYANIQUE	Dérivé d’un cyanure.
CYANOSER	Provoquer la cyanose de.
CYANURER	Procéder à la cyanuration de.
CYCLABLE	Où l'on peut faire du vélo.
CYCLAMEN	Genre de plantes, de la famille des Primulacées.
CYCLECAR	Voiturette à deux places, roulant sur trois ou quatre roues.
CYCLIQUE	Qui a rapport au cycle épique.
CYCLISER	Rendre une chaîne d’atomes fermée, dans un composé organique.
CYCLISME	Doctrine d’après laquelle tous les événements se reproduisent perpétuellement de manière cyclique.
CYCLISTE	Qui concerne le cyclisme.
CYCLONAL	Relatif au cyclone.
CYCLOPIE	Conformation des monstres dont les deux yeux se sont confondus en un seul.
CYLINDRE	Partie mobile du piston des freins.
CYMBALUM	Instrument de musique à cordes frappées d’origine hongroise.
CYPRIOTE	Relatif à l’île de Chypre.
CYSTIQUE	Relatif à la vessie.
CYTOKINE	Substance soluble de communication synthétisée par les cellules du système immunitaire ou par d’autres cellules ou tissus, agissant à distance sur d’autres cellules pour en réguler l’activité et la fonction.
CYTOLYSE	Destruction de cellule par dissolution des éléments qui la composent.
CYTOSINE	Base azotée qu’on trouve dans l’ADN et l’ARN, constituée d'un squelette de pyrimidine avec un groupement amine et un groupement cétone.
DACQUOIS	Relatif à Dax, commune française située dans le département des Landes.
DAHABIEH	Petit bateau spécifiquement égyptien, propulsé à la voile ou à la rame, utilisé pour le transport des voyageurs et des marchandises sur le Nil.
DAIQUIRI	Cocktail composé de rhum blanc, de jus de citron, de sucre et de glace pilée.
DAKAROIS	Relatif à Dakar ou à ses habitants.
DALLEUSE	Celle qui pose des dalles.
DAMASSER	Tremper de l'acier à la façon du damas.
DAMNABLE	Qui peut attirer la réprobation, l’exécration.
DANDINER	Pratiquer la pêche à la dandine ou dandinette.
DANDYSME	Mode masculine du XIX siècle, prétendant à l’élégance et au raffinement.
DANSABLE	Qu’on peut danser.
DANSANTE	Se dit d'une marche située dans le virage d'un escalier et dont la largeur est différente de celle des marches de la partie droite, et dont la forme est trapézoïdale et non plus rectangulaire.
DANSEUSE	Femme qui danse.
DANSOTER	Danser un peu, pas très bien.
DANUBIEN	Relatif au Danube, aux pays riverains de ce fleuve et aux habitants de ces pays.
DARBOUKA	Tambourin d’origine tunisienne fait d'une peau tendue sur l'extrémité renflée d'un cylindre de poterie ou de métal.
DARBYSME	Doctrine religieuse de l’anglais John Nelson Darby, branche dite « exclusive » des Assemblées de Frères, une mouvance du protestantisme évangélique.
DARBYSTE	Relatif au darbysme.
DAREDARE	Vite, précipitamment, promptement.
DARSHANA	Vision d’une divinité ou d’un maître religieux.
DARTREUX	Personne affectée de dartres.
DARTROSE	Maladie de la pomme de terre, dite aussi maladie des points noirs, due au champignon Colletotrichum coccodes.
DATATION	Action de dater, estimation d’une date par des moyens scientifiques.
DAUBEUSE	Railleuse.
DAVIDIEN	Relatif à la secte américaine des davidiens.
DEADLINE	Échéance, date limite, date butoir.
DEALEUSE	Narcotrafiquante, vendeuse de drogue, de stupéfiants.
DEBOUTER	Se mettre débout.
DECHAUME	Nom de famille.
DELEATUR	Signe par lequel on indique, dans la correction des épreuves, les lettres, les mots ou les lignes à retrancher.
DELPHIEN	Dialecte grec parlé en Delphide.
DELTISTE	Personne qui pratique le deltaplane.
DEMANDER	Demander l’aumône.
DEMARQUE	Nom de famille.
DEMEURER	Se trouver, rester ou être dans un certain état.
DENDRITE	Arborisation, ramification.
DENTAIRE	Qui a rapport aux dents.
DENTELER	Découper
DENTELLE	Dentelle de fil.
DENTISTE	Spécialiste du soin des dents.
DERECHEF	Immédiatement.
DERMESTE	Genre de coléoptères détritiphages de petite taille.
DERMIQUE	Qui a rapport au derme.
DERVICHE	Religieux musulman appartenant à une confrérie.
DESCENTE	Discipline de VTT.
DESIGNER	Concevoir en utilisant les méthodes du design.
DESPOTAT	Dignité de despote.
DESSALER	Faire perdre la naïveté à quelqu’un, dégourdir, affranchir.
DESSAPER	Déshabiller.
DESSERRE	Action de desserrer, dans la locution à la desserre.
DESSERTE	Transport qui dessert.
DESSINER	Représenter, reproduire par le dessin.
DESSOLER	Cultiver avec un nouvel assolement.
DESTINER	Préparer, réserver.
DESTRIER	Cheval de bataille au Moyen Âge.
DETAILLE	Nom de famille, connu en particulier pour Édouard Detaille (1848-1912), peintre et illustrateur français.
DEVANCER	Surpasser, avoir l’avantage.
DEVENTER	Ville des Pays-Bas située dans la province d’Overijssel.
DEVINEUR	Personne qui devine, qui résout une devinette, une énigme.
DEXTRINE	Glucide gommeux, dextrogyre, soluble, amorphe, qui résulte de l’amidon sous l’influence des acides, des oxydes.
DIACLASE	Fissure dans une roche sans que les parties disjointes s'éloignent l'une de l'autre (comme pour une faille).
DIACONAL	Relatif au diacre.
DIACONAT	Fonctions de diacre ou de diaconesse, chez les protestants.
DIADOQUE	Successeur.
DIAGNOSE	Connaissance qui s’acquiert par l’observation des signes diagnostiques.
DIAGONAL	Transversal, oblique.
DIALCOOL	Corps chimique dont la molécule compte deux fonctions alcool.
DIALECTE	variété, variante, régiolecte
DIALOGUE	Entretien entre deux ou plusieurs personnes.
DIALYSER	Procéder à une dialyse.
DIAMANTE	Commune d’Italie de la province de Cosenza dans la région de Calabre.
DIANDRIE	Classe du système de , qui renferme les plantes à deux étamines.
DIAPASON	Manière actuelle ou habituelle dont quelqu’un vit, agit, pense.
DIAPAUSE	Arrêt temporaire génétiquement déterminé, chez les insectes, de l'activité ou du développement durant l’hiver, la saison sèche, ou encore en cas de carence alimentaire.
DIAPHANE	Transparent.
DIAPHYSE	Forme tubulaire qui constitue la portion centrale du corps d'un os long.
DIAPRURE	Diaprerie, irisation, variation de couleurs.
DIARISTE	Personne tenant un journal intime.
DIASCOPE	Projecteur de diapositives.
DIASPORA	Communauté juive installée dans un pays quelconque.
DIASPORE	Espèce minérale de formule .
DIASTASE	Synonyme de enzyme — .
DIASTOLE	Phase d’expansion, de dilatation ou de croissance.
DIATRIBE	Critique amère et violente.
DICARYON	Cellule de champignon qui contient deux noyaux haploïdes avant de subir, par la suite, une caryogamie.
DICHLORE	Composé chimique, gazeux dans des conditions normales de température et de pression, de couleur verdâtre, souvent appelé chlore, très toxique, de formule .
DIEPPOIS	Relatif à Dieppe, commune française située dans le département de la Seine-Maritime.
DIFFAMER	Décrier, chercher à déshonorer, à nuire à la réputation par ses paroles ou par ses écrits.
DIFFLUER	S’écouler de tous côtés, se dissoudre.
DIFFORME	Qui est contrefait, qui n’a pas la figure, la forme ou les proportions qu’il devrait avoir.
DIFFUSER	Se propager.
DIGESTIF	Qui sert à la digestion.
DIGICODE	Pavé numérique et dispositif électronique commandant l'ouverture d'une serrure électrique quand on tape un code secret.
DIGITALE	Extrait diurétique de cette plante, qui diminue la fréquence des battements du cœur.
DIGRAMME	Toute séquence de deux caractères.
DIGUETTE	Petite digue.
DILATANT	Qui dilate.
DILATION	Action de différer, de retarder.
DILIGENT	Habitant de Stukely-Sud, municipalité de village québécoise.
DILUTION	Action de diluer, d'étendre avec de l'eau ou un autre solvant ; résultat de cette action.
DILUVIAL	Diluvien.
DILUVIEN	Habitant du Déluge, commune de l’Oise.
DILUVIUM	Matière des alluvions antérieures aux temps historiques.
DIMANCHE	Vêtements portés le dimanche.
DIMINUER	Maigrir.
DIMORPHE	Qui peut prendre deux formes différentes.
DINDONNE	Dinde.
DINORNIS	Nom scientifique d’un genre d’oiseau coureur disparu qui vivait en Nouvelle Zélande à l’époque du pléistocène.
DIOECIES	Orthographe par contrainte typographique de diœcies.
DIOPTRIE	Unité de convergence des lentilles ou autres systèmes optiques dont le symbole est δ, et se mesure en m.
DIPLOPIE	Trouble de la vision amenant à voir double.
DIPLOURE	Invertébré de la classe des diploures.
DIPTYQUE	Tableau composé de deux parties qui se font opposition.
DIRECTIF	Impératif.
DIRIMANT	Qui détruit un raisonnement.
DISAMARE	Samare double : akènes ou fruits groupés par paire de certaines variétés de végétaux.
DISCIPLE	Personne qui apprend d’un maître quelque science ou quelque art libéral.
DISCOUNT	Réduction du prix de vente d’un produit ou d’une marchandise.
DISCOURS	Nom de famille.
DISCUTER	Converser.
DISJOINT	Qui n’ont pas d’élément en commun.
DISPARUE	Femme disparue.
DISPENSE	Pièce qui constate l’exemption.
DISPOSER	Préparer à quelque chose.
DISPUTER	Se quereller.
DISSERTE	Dissertation.
DISSIPER	Disparaître peu à peu.
DISSONER	Former dissonance.
DISTANCE	Intervalle de temps.
DISTINCT	Qui est clair et net.
DISTIQUE	Qui a deux rangées de facettes autour de chaque base.
DISTRAIT	Personne de nature distraite.
DISTRICT	Division territoriale de moyenne étendue.
DIVAGUER	Errer.
DIVALENT	Synonyme de bivalent.
DIVERGER	Ne pas converger.
DIVERTIR	Faire diversion.
DIVISEUR	Divisif, de division.
DIVISION	Action de diviser.
DIVORCER	Séparer.
DIZENIER	Nom de certains officiers de ville.
DIZYGOTE	Qui proviennent de deux zygotes différents.
DJELLABA	Longue tunique qui descend aux chevilles et généralement munie d’une capuche.
DJERBIEN	Relatif à l’île de Djerba, au nord-est de la Tunisie, ou à ses habitants.
DOBERMAN	Quelqu’un de ces animaux.
DOCTEURE	Femme promue dans une université au grade le plus élevé de quelque faculté.
DOCTORAL	Relatif au doctorat.
DOCTORAT	Grade de docteur.
DOCTRINE	Travaux juridiques destinés à interpréter le droit.
DOCUMENT	Fichier informatique.
DODINAGE	Action de dodiner ; remuage délicat.
DODOMAIS	Relatif à Dodoma, capitale de la Tanzanie, ou à ses habitants.
DOIGTIER	Digitale pourprée ou clavaire digitée.
DOLOMITE	Espèce minérale formée de carbonate de calcium et de magnésium, de formule .
DOMAINES	Service qui administrait le domaine public et les biens de l’État et de collectivités territoriales.
DOMANIAL	Qui est du domaine privé de l’État.
DOMICILE	Lieu où une personne a son principal établissement.
DOMINANT	Arbre dominant.
DOMPTAGE	Action de dompter.
DOMPTEUR	Celui qui dompte.
DONATEUR	Qui donne quelque chose.
DONATION	Don qui se fait par acte public.
DONDAINE	Femme obèse ; dondon.
DONNEUSE	Celle qui donne.
DONZELLE	Femme ou jeune fille.
DOPAMINE	Composé organique de la classe des catécholamines jouant le rôle de neurotransmetteur.
DORIENNE	Habitante de la Doride, en Grèce.
DORLOTER	Soigner délicatement et avec une tendresse complaisante.
DORMANCE	Quiescence d’un organe jeune dont le développement reprendra après cette pause.
DORMEUSE	Celle qui dort.
DORMITIF	Qui provoque le sommeil.
DOSSERET	Pièce de bois ou de métal qui renforce le dos d’une scie.
DOSSISTE	Nageur (ou nageuse) spécialiste du dos crawlé.
DOTATION	Allocation d'une course hippique.
DOUALAIS	Habitant ou natif de Douala, ville du Cameroun.
DOUANIER	Qui se rapporte aux douanes.
DOUBISTE	Habitant du Doubs.
DOUBLAGE	Action de doubler.
DOUBLANT	Élève qui redouble.
DOUBLEAU	Solive d’un plancher plus forte que les autres.
DOUBLEUR	Ouvrier qui fabrique du doublé.
DOUBLIER	Râtelier double placé au milieu d'une bergerie.
DOUBLURE	Remplaçant, dans une corrida.
DOUCHEUR	Celui qui donne des douches.
DOUCINER	Caresser doucement.
DOUDOUNE	Sein. — Dans cet emploi, s’utilise principalement au pluriel.
DOUGHNUT	Beignet.
DOUILLER	Payer.
DOUILLES	Cheveux.
DOUILLET	Nom de famille.
DOUILLEZ	Nom de famille.
DOUILLON	Laine de qualité inférieure.
DOUVELLE	Petite douve de tonneau.
DOUZAINE	Douze ou à peu près douze.
DOUZAINS	Commune française du département du Lot-et-Garonne.
DRAGEOIR	Rainure pratiquée à l’intérieur ou à l’extérieur d’un objet dans le but d’y faire tenir par emboîtement une autre pièce.
DRAGLINE	Engin de terrassement automoteur sur chenille spécialement conçu pour l’extraction en dessous du niveau du sol, en zone noyée le plus souvent.
DRAGONNE	, femelle.
DRAGSTER	Type de voiture prévue pour les courses d'accélération, sur courte distance.
DRAGUEUR	Sorte d'engin de forage.
DRAINAGE	Action de drainer.
DRAINANT	Produit drainant.
DRAINEUR	Substance détoxifiante.
DRAISINE	Véhicule léger, principalement utilisé pour l'entretien des voies ferrées.
DRAPERIE	Grosse épingle courte.
DRAVEUSE	Femme qui pratique la drave, c'est à dire qui manipule des billes de bois (billots, pitounes, troncs d'arbre) notamment pour les ramener à l'eau ou les diriger (ex.: dans le courant, vers des baunes, des moulins à scie ou des papetières) habituellement sur des rivières et aussi sur certains plans d'eau.
DRAWBACK	Inconvénient, revers de la médaille.
DRAYOIRE	Couteau muni de deux poignées destiné à drayer les peaux.
DRESSAGE	Action de dresser.
DRESSEUR	Celui qui dresse des animaux.
DRESSING	Penderie ; garde-robe.
DRESSOIR	Sorte d’étagère sur laquelle on fait égoutter le fromage
DRIBBLER	Se déplacer avec la balle en la faisant rebondir sur le sol.
DRIFTEUR	Conducteur qui fait des drifts.
DROITIER	Personne droitière.
DROITURE	Pour un navire, aller en droiture ou faire sa route en droiture, c’est aller à sa destination sans escale, ni relâche.
DROLESSE	, jeune femme.
DRONISTE	Amateur de drone, pilote de drone
DROPPAGE	Opération consistant à dropper (parachuter) du personnel ou du matériel.
DROUILLE	Colique.
DUALISER	Rendre dual.
DUALISME	Position qui se situe entre deux éléments opposés.
DUALISTE	Relatif au dualisme.
DUATHLON	Épreuve sportive constituée de deux sports d’endurance : le cyclisme (en vélo de route) et la course à pied (à ne pas confondre avec le vétathlon).
DUCHESSE	Sorte de ruban.
DUCROIRE	Qui s’engage solidairement avec ce type de clause.
DULCIMER	Instrument à cordes frappées des pays anglophones dérivant de la doulcemelle française.
DULCITOL	Polyol de formule brute , à saveur légèrement sucrée, produit par la réduction du galactose.
DUPERIEZ	Nom de famille.
DUPLEXER	Installer une liaison duplex entre deux endroits.
DUPLIQUE	Réponse à des répliques.
DURAILLE	Pierre, caillou.
DUREMENT	D’une manière dure.
DURILLON	Difficile.
DUVETEUX	Qui a les qualités du duvet.
DUXELLES	Hachis de champignons cuit au beurre avec de l’échalote hachée.
DYADIQUE	Personne non intersexe.
DYARCHIE	Société ou organisation avec deux dirigeants sur une position égale.
DYNASTIE	Lignée familiale.
DYSBASIE	Trouble de la marche.
DYSLALIE	Trouble de l’émission de la parole dû à un problème articulatoire résultant de lésions ou de malformations d'un organe de la phonation.
