ABASOURDI	Extrêmement surpris
AVALEMENT	Déglutition, absorption
AVAREMENT	D’une manière avare
AVEUGLANT	empêche momentanément de voir
AVIDEMENT	D’une manière avide ; avec avidité
AVIONIQUE	Équipement électronique et informatique des aéronefs et des
AVOISINER	Être proche de …, être voisin de …,
AXILLAIRE	a rapport à l’aisselle
BACCIVORE	mange des baies
BADELAIRE	Épée courte
BAGATELLE	brève, simple et légère
BALTHASAR	, festin
BARBACANE	Meurtrière ou fenêtre étroite
BARBELURE	État de ce qui est barbelé
BARIGOULE	Mélange ; collection
BARONNAGE	Dignité de baron
BARREMENT	barrer les veines d’un cheval
BASCULEUR	bascule ou se bascule
BASOPHILE	a une affinité pour les colorants basiques
BASSEMENT	D’une manière basse
BATAILLER	S’opposer à une attaque
BATAVIQUE	D’origine hollandaise
BATIFOLER	S’amuser à courtiser une jeune fille
BATTEMENT	Écart de temps
BAVOCHURE	Défaut de ce qui est bavoché
BEDONNANT	est doté d'un gros ventre
BELLEMENT	ou D’une façon belle
BESOGNEUX	est dans la gêne, dans le besoin
BEURRERIE	l’on fait, où l’on conserve le beurre
BIBLIOBUS	Bibliothèque itinérante aménagée dans un autobus
BICIPITAL	a rapport au muscle biceps
BICONCAVE	a deux surfaces concaves opposées
BICONVEXE	a deux surfaces convexes opposées
BIDONNAGE	rendre bidon
BIDONNANT	Très amusant, marrant, rigolo
BIDONNEUR	bidonne, de bidon
BIFILAIRE	contient deux fils
BIGARRURE	Mélange d’éléments disparates
BIGOTERIE	Dévotion outrée et superstitieuse
BIGOTISME	Caractère du bigot
BIGUANIDE	Composé organique qui contient 2 groupements C=NH dans
BILLETAGE	donner les détails d’un montant donné
BIMENSUEL	a lieu ou paraît deux fois par mois
BINOCLARD	porte des lunettes
BINOMINAL	Composé de deux noms
BINTURONG	Espèce de petit carnivore asiatique de la famille
BIPOLAIRE	a deux pôles
BISANNUEL	se produit tous les deux ans, en parlant
BISSEXTIL	Où l’on rencontre le bissexte (jour supplémentaire que
BITENSION	peut fonctionner sous deux tensions électriques différentes
BITURBINE	utilise, qui comporte deux turbines
BIVALENCE	Caractère de ce qui est bivalent, qui remplit
BLASONNER	Médire de quelqu’un, le railler, le critiquer
BLOQUISTE	Député du
BOBINEUSE	Ouvrière qui bobine
BOBOLOGIE	Réparation des petites dégradations
BOSSELURE	Élévation sur un terrain
BOULEVARD	Théâtre de boulevard
BOURDAINE	Préparation à base de pomme farcie de confiture
BOURDALOU	Étoffe, linge ouvré
BOURRATIF	bourre, très nourrissant, riche en calories, voire indigeste
BOURRELLE	Épouse d’un bourreau
BOURRICOT	Dénonciateur, bourrique, bourdille
BOURRINER	Posséder sexuellement
BOUVETAGE	Réalisation d’un assemblage par rainure et languette avec
BRAILLEUR	a le défaut de brailler
BRAMEMENT	bramer ; cri du cerf, du chevreuil, du
BRANCHIAL	a rapport aux branchies
BRASILLER	S’agiter, être actif
BRASSERIE	on brasse de la bière
BRILLANCE	État de ce qui est brillant
BRISEMENT	briser, de mettre en pièces
BROCHETTE	Échelle campanaire
BROQUELIN	Débris de tabac, dans les manufactures de tabac
BROQUETTE	Pénis de jeune garçon
BRUISSANT	rend un petit bruit indistinct ; qui bruisse,
BUBONIQUE	est caractérisé par des bubons
BUFFETIER	Écornifleur, parasite
CABOCHARD	Têtu, qui n’en fait qu’à sa tête
CABREMENT	se cabrer
CACHETAGE	cacheter avec de la cire, du plomb, etc
CACHETTES	Variété du jeu de cache-cache
CAFARDEUR	a le cafard
CAFARDEUX	suscite le cafard
CAGOTERIE	Manière d’agir du cagot
CALANCHER	Décéder, mourir
CALCINANT	calcine, qui brûle, qui consume
CALCIURIE	Présence de calcium dans l’urine
CALMEMENT	D’une manière calme
CAMBIAIRE	a rapport au change
CANCANIER	aime à faire des cancans
CANNELURE	Défaut formé par ces stries dans le bois
CANNETAGE	Opération d’enroulage du fil sur une canette, sur
CANONICAT	Dignité de chanoine
CANONNANT	pointe comme un fût de canon
CANONNIER	Préposé au tir des mines ; boutefeu
CANOTABLE	Où il y a assez d’eau pour qu’on
