ABASOURDI	Extrêmement surpris
GRONDERIE	Réprimande faite le plus souvent sur un ton
GROSSESSE	État d’une femme enceinte ou durée de cet
GROSSOYER	Expédier un acte, en faire la grosse
GRUIFORME	concerne ou qui est caractéristique des gruiformes
GRUMELEUX	est composé de grumeaux
GUANOSINE	Nucléoside formé d'un cycle ribose attaché à la
GUILLEMOT	Variété de raisin
GUILLERET	manifeste une vivacité gaie
GUIRLANDE	Chaîne, feston de fleurs ou de feuillage, ou
GYROLASER	Gyromètre recourant à la technique du laser
GYROMITRE	Espèce de champignon toxique, parfois mortel, ressemblant à
HABILLANT	sied, qui va bien
HABITABLE	peut être habité ; où l'on peut habiter
HACHEMENT	le est non étymologique
HACKATHON	Événement où des programmeurs se rencontrent pour collaborer
HALOPHILE	vit dans les milieux salés
HAPPEMENT	happer quelque chose
HARASSANT	harasse, épuise, fatigue énormément
HARCELANT	harcèle, qui importune sans cesse
HAUTEMENT	D’une manière nette et franche
HERBICIDE	détruit les végétaux herbacés ou ligneux
HERBICOLE	vit dans les herbes
HEXAGONAL	a la forme d’un hexagone
HIMALAYEN	D'une très grande hauteur
HIPPARION	Mammifère périssodactyle (équidés), fossile du tertiaire
HIPPIATRE	Vétérinaire spécialisé dans les maladies des chevaux
HISTORIAL	relève de l'histoire essentielle
HISTORIER	Décrire, raconter
HOMARDIER	sert à la pêche au homard
HOMININES	Lignée d'hominiens, caractérisé entre autre par l'adoption permanente
HOMODONTE	possède des dents toutes de même forme et
HOMOFOCAL	a un même foyer
HOMOLOGIE	Qualité de ce qui est homologue
HOMOPHONE	a le même son
HONORABLE	est conforme à la bienséance
HONORAIRE	porte un titre honorifique sans fonctions
HOQUETANT	est pris de spasmes et pousse des hoquets
HORTICOLE	a rapport à l’horticulture, jardinier
HOUILLEUX	contient de la houille
HUMORISTE	a de l’humour
HURRICANE	Tempête cyclonique propre à la zone intertropicale
HYACINTHE	Prénom mixte épicène
HYDROFUGE	préserve de l’humidité
HYDROXYDE	L’ion OH- lui-même
HYPERBARE	Supérieur à la pression atmosphérique
HYPOSTASE	Sédiment qui se sépare des urines
IDENTIQUE	Propriété de plusieurs objets distincts d'être semblables
ILLOGISME	Caractère d’une proposition, d’une action, d’un sentiment contraire
ILLUMINER	Éclairer l’âme
ILLUSOIRE	est captieux, qui tend à tromper sous une
ILLUSTRAT	Dignité d’illustre
IMAGINANT	est source d’imagination
IMBITABLE	Incompréhensible, difficile à comprendre
IMIDAZOLE	Hétérocycle insaturé de formule chimique brute
IMITATION	imiter ou résultat de cette action
IMMERSION	Entrée d’une planète dans l’ombre d’une autre planète
IMMINENCE	Qualité de ce qui est imminent
IMMIXTION	un événement extérieur
IMMODESTE	est contraire à la modestie, à la pudeur
IMPARFAIT	n’est pas parfait
IMPAYABLE	ne peut être payé
IMPOSABLE	peut être soumis aux impositions
IMPOSEUSE	Ouvrière spécialisée dans l’imposition
IMPOSTEUR	est dans l’imposture
IMPOTENCE	État de celui qui est impotent
IMPRUDENT	manque de prudence
IMPUDIQUE	dénote de l’impudicité
IMPULSION	exciter, d’encourager ou de pousser quelqu’un à faire
IMPUTABLE	peut, qui doit être imputé
INASSOUVI	n’est pas assouvi
INATTENDU	Événement non prévu
INAUGURAL	a rapport à l’inauguration
INCASABLE	ne peut trouver de partenaire, de conjoint, d’époux
INCERTAIN	est variable, mal assuré
INCITATIF	incite à quelque chose
INCIVISME	Défaut de civisme
INCLUSION	inclure ; résultat de cette action
INCOMBANT	Penché sur quelque chose ; terme souvent utilisé
INCOMMODE	cause du malaise, de la fatigue, de l’ennui
INCOMPLET	n’est pas complet
INCUNABLE	date des premiers temps de l’imprimerie
INCURABLE	ne peut être guéri
INCURIEUX	n’a pas de curiosité
INDEXABLE	peut être indexé
INDIGESTE	est difficile à digérer
INDISCRET	ne sait pas garder le secret
INDUCTION	Conséquence que l’on tire par induction
INDULGENT	pratique l’indulgence ; qui pardonne aisément les fautes
INEFFABLE	ne peut pas être exprimé par des paroles
INFANTILE	se rapporte à l’enfance
INFARCTUS	Lésion nécrotique de certains tissus
INFERTILE	n’est pas fertile
INFINITIF	concerne ou utilise l’infinitif
INFIRMIER	concerne les infirmiers
INFLUENCE	Autorité, crédit, ascendant
INHALABLE	peut être inhalé
INJECTEUR	a pour but dʼinjecter
INJURIEUX	offense ; qui outrage
INNOCENCE	État de celui qui n’est pas coupable
INONDABLE	peut être inondé
INRAYABLE	résiste aux rayures, ne peut pas être rayé
INSERTION	insérer ou état de ce qui est inséré
INSIDIEUX	tend des embûches, un piège à quelqu’un
INSINUANT	a l’adresse et le talent de s’insinuer, d’insinuer
INSOLUBLE	ne peut être résolu
INSTAURER	Établir, fonder
INSTITUER	Établir en charge, en fonction
INSULTANT	tient de l’insulte
INSULTEUR	insulte, offense
INTENSION	Désignation d’un ensemble d’éléments par un prédicat qu’ils
INTERLUDE	Période transitoire
INTERZONE	concerne les relations entre au moins deux zones
INTIMISTE	recherche l’intimité
INTRIGANT	suscite la curiosité
INTRIQUER	Mêler de façon embrouillée
INTUITION	Faculté de comprendre vite, de prévoir, de deviner
INVARIANT	ne varie pas
INVOLTINI	Entrée italienne composée d’aliments roulés
INVOLUTIF	se roule de dehors en dedans
IRASCIBLE	s’emporte facilement, qui est prompt à se mettre
IRISATION	couleurs de l’irisation de minéraux ou métaux
IROQUOISE	Amérindienne appartenant à la nation iroquoise
IRRADIANT	irradie dans le corps
IRRIGABLE	est susceptible d’être irrigué
IRRITATIF	a la faculté d’irriter
ISOBUTANE	Isomère du butane ()
ISODYNAME	produit la même quantité d'énergie, en parlant notamment
ISOLEMENT	État de ce qui est isolé
ISOMORPHE	a une forme identique
ISOTHERME	a la même température moyenne
JAMBALAYA	Spécialité culinaire à base de riz de la
JIHADISTE	fait le jihad
JOBARDISE	Caractère, comportement de jobard, bêtise, crédulité, niaiserie
JOIGNABLE	peut être joint ou relié
JONGLERIE	jongler, spectacle donné par cette action
JOUISSANT	jouit de quelque chose
JUBILAIRE	appartient au jubilé
JUDICIEUX	a le jugement bon
JUGULAIRE	appartient à la gorge
KAYAKABLE	Où l’on peut kayaker, faire du kayak
LABORIEUX	travaille beaucoup, qui aime le travail
LABOURAGE	labourer la terre
LACERTIEN	ressemble à un lézard
LACTATION	Période de la production de lait
LAMBINAGE	aller très lentement, de trainer en longueur
LAMELLEUX	se laisse diviser en lamelles, en feuilles
LANCINANT	taraude l’esprit ; obsédant
LANTERNER	Être irrésolu en affaires, perdre le temps à
LAPIDAIRE	a rapport aux pierres
LAPINISME	Fécondité excessive
LARYNGIEN	a rapport au larynx, qui appartient au larynx
LAUDATEUR	loue, qui exprime une louange
LEITMOTIV	Thème qui revient fréquemment dans une partition
LENTILLON	Variété de lentille qu’on sème à l’automne
LEPTOSOME	a des proportions élancées, tout en longueur
LESTEMENT	D’une manière leste
LETTREUSE	Ouvrière graphiste spécialisée dans l'écriture des panneaux et
LICENCIER	Congédier un employé
LIGNIVORE	se nourrit de bois
LIMINAIRE	Situé au tout début
LINGUISTE	Spécialiste des langues
LIPOPHOBE	n’aime pas les graisses ni les huiles
LITANIQUE	a une forme de litanie
LITIGIEUX	se plaît dans les litiges
LIVRAISON	livrer de la marchandise qu’on a vendue
LOBULAIRE	a la forme d’un lobule, qui appartient à
LOCALISTE	privilégie ce qui est local
LOCULAIRE	est partagé en plusieurs locules, loges
LOMBOSTAT	Orthèse lombaire
LORICAIRE	Allongé en forme de courroie
LOUCHERIE	État des yeux qui louchent : strabisme
LOYALISME	Obéissance fidèle à son souverain, au gouvernement établi
LOYALISTE	a des sentiments de loyalisme
LUNATIQUE	est fantasque
LUTINERIE	Espièglerie d'enfant
LUXURIEUX	est porté à la luxure, qui peut exciter
LYSOSOMAL	concerne le lysosome
MACROPODE	a de longs pieds ou de longues nageoires
MACULAIRE	concerne la macula
MAGNANIME	a de la grandeur, de la force d'âme
MAILLETER	Opérer le mailletage d’un bâtiment
MAILLEUSE	Ouvrière qui fabrique des filets de pêche
MAITRISER	Être maitrisé
MALADROIT	manque d’adresse
MALAPPRIS	est mal élevé, qui manque d’éducation
MALHABILE	manque d’habileté
MALICIEUX	dénote un esprit espiègle
MALPROPRE	manque de propreté ; qui est sale
MALVOYANT	souffre d’une altération grave des facultés visuelles
MAMAVIRUS	Espèce de girus (virus géant)
MANCHERON	Élément d’une béquille soutenant l’aisselle
MANDARINE	Épouse d’un mandarin
MANDATURE	Durée d’un mandat politique
MANGANEUX	contient du manganèse
MANOQUAGE	mettre le tabac en manoques
MAQUETTER	Réaliser la maquette de (quelque chose, par exemple
MARCHANDE	Épouse d’un marchand en gros
MARGRITIN	Espèce de rocaille très fine
MARKETEUR	Spécialiste du marketing
MASTICAGE	Opération qui exige l’emploi du mastic, du ciment
MASTIQUER	Mâcher avec soin
MATERNAGE	materner un enfant
MATIFIANT	rend mat
MATRICIDE	tue la mère
MELLIFLUE	abonde en miel, qui fait le miel
MENSTRUEL	arrive tous les mois, qui a rapport à
MENSTRUES	Écoulement de sang mensuel chez les femmes non
MENUISAGE	menuiser, de travailler le bois en menuiserie
MERLONNER	Sécuriser par des merlons
MESSICOLE	croit dans les champs de céréales
MESURABLE	peut se mesurer
MICROBIEN	a rapport aux microbes
MICROPORE	a de très petits pores
MILITANCE	Activité militante
MIMIVIRUS	Espèce de girus (virus géant)
MIMODRAME	Pièce de théâtre entièrement mimée, pantomime
MINAUDIER	aime à minauder ; qui s'adonne aux minauderies
MINOTERIE	Établissement où se pratique cette industrie
MINUSCULE	Très petit
MINUTAIRE	a le caractère d’une minute, d’un original
MINUTIEUX	est fait avec minutie
MIRIFIQUE	est admirable, merveilleux, qui frôle la perfection
MITONNANT	est en train de mitonner, de cuire à
MODULABLE	peut être modulé
MODULAIRE	Constitué de modules
MOLINISTE	a rapport au molinisme
MOLLASSON	est très mou
MOLLEMENT	D’une manière molle
MONADISME	Système philosophique qui admet que l’univers est composé
MONGOLIEN	est idiot
MONITOIRE	sert d'avertissement
MONOCORDE	Parlé sur un seul ton
MONOLITHE	est fait d’une seule pièce
MONOLOGUE	Scène dite par un seul personnage
MONOPLACE	ne comporte qu’une place
MONOPSONE	Filière dans laquelle il n’y a qu’un seul
MONOTONIE	Caractère de ce qui est monotone
MONSIGNOR	Évêque italien, ou ecclésiastique italien occupant une charge
MONTRABLE	peut être montré
MOQUETTES	Fumées (crottes) du chevreuil
MORALISTE	Écrivain qui traite des mœurs
MORATOIRE	formule ou qui établit un délai, dilatoire
MORDICANT	est âcre, picotant, corrosif
MOTIONNER	Déposer une motion
MOUILLADE	humecter les feuilles sèches du tabac, pour les
MOUILLANT	mouille une surface
MOUILLEUR	mouille ; qui humecte
MOUSTACHU	est affublé d'une moustache
MULTIPARE	a accouché plus d’une fois
MULTITUBE	comporte plusieurs tubes
MUSCARINE	Alcaloïde pyrrolizidinique trouvé dans l’amanite tue-mouche ; il
MUSCICOLE	croît sur les mousses
MUSCULEUX	a une forte musculature
MYCOPHAGE	mange des champignons
MYOGRAPHE	Médecin qui réalise une description des muscles
NANOMONDE	monde du nanométrique
NARRATION	Récit fait en conversation
NATALISTE	cherche à favoriser la natalité
NATURISME	Médecine naturelle
NAVIGABLE	Où l’on peut naviguer
NAVIPLANE	Aéroglisseur conçu par
NECTARINE	Variété de pêche à la peau lisse et
NEPTUNIUM	Métal pur de cet élément
NERVALIEN	concerne ou se rapporte à l'écrivain
NICTITANT	cligne, qui clignote, en parlant des paupières
NIVOLOGUE	Spécialiste de l’étude de la neige et des
NOMBRABLE	peut être nombré
NOMINATIF	dénomme, qui contient des noms
NOMINETTE	Étiquette nominative
NOMOLOGIE	Étude des lois qui président aux phénomènes naturels
NOMOPHOBE	n’aime pas la loi
NOSOLOGIE	Étude et classification des maladies
NOVILLERO	Toréro novice
NOYAUTAGE	noyauter, tentative de prise de contrôle
NUMISMATE	s’occupe de numismatique
NUTRICIER	sert à la nutrition, qui nourrit
NYCTALOPE	a la faculté de voir dans l’obscurité
OBLIGEANT	aime à obliger, à faire plaisir
OBSERVANT	est fidèle à l’observance religieuse
OCCURRENT	tombent le même jour
OCTASTYLE	a huit colonnes
OCTOGONAL	se rapporte à l’octogone ; qui a la
OCTOSTYLE	a huit colonnes
OFFENSANT	offense, qui est injurieux
OFFICIANT	officie à l’église
OFFICIEUX	est prompt à rendre de bons offices, serviable
OFFUSQUER	Empêcher d’être vu
OLIVAISON	Récolte des olives elle-même
OMBRAGEUX	produit de l'ombre
OMNISPORT	Où on peut pratiquer différents sports
ONCOLOGUE	Médecin spécialiste en oncologie
ONDINISME	Érotisation des fonctions urinaires ; attirance sexuelle pour
ONTOLOGIE	Étude des êtres vivants
OPIOMANIE	Dépendance à l’opium
OPPOSABLE	peut être avancé pour contredire
OPPRESSIF	tend à opprimer, qui sert à opprimer
OPSOMANIE	Goût exclusif et morbide pour une espèce d’aliment
OPTIONNEL	fait l’objet d’un choix ; pour lequel on
ORBITAIRE	a rapport à l’orbite de l’œil
ORGANISER	Régler de façon déterminée
ORIFLAMME	Bannière analogue
ORIGINALE	Édition originale d’un ouvrage
ORPHIQUES	Poèmes attribués à Orphée
OSTRACODE	est en forme de coquille
OUBLIABLE	peut être oublié ; qui est facile à
OUTRAGEUX	fait outrage
OUVRAISON	Matière ouvrée
OVERDRIVE	Système surmultiplicateur à commande électrique ajouté sur une
PACIFIANT	pacifie, qui fait ou inspire la paix
PAISSANCE	paître, de mettre en pâturage des animaux
PALABREUR	qui palabre, qui parle beaucoup, souvent en s'écartant
PALINODIE	Rétractation de ce qu’on a dit
PALISSAGE	palisser un arbre
PALMITINE	Triglycéride que l’on trouve dans l’huile de palme
PANSEMENT	panser une plaie ou une blessure
PANTELANT	halète, qui respire avec peine, par secousse
PAPILLEUX	est pourvu de papilles
PAPILLOTE	Mèche de cheveux frisée avec ce papier ou
PARADOXAL	aime le paradoxe
PARFILAGE	parfiler ou résultat de cette action
PARLEMENT	Assemblée ou ensemble des assemblées exerçant le pouvoir
PARODIQUE	a rapport à la parodie
PARONYMIE	Qualité de ce qui est paronyme
PAROXYTON	a l’accent tonique sur l’avant-dernière syllabe
PARTIELLE	Épreuve intermédiaire pour obtenir un diplôme
PATOISANT	cultive ou emploie le patois
PATRICIAT	À partir de , dignité de patrice
PATRONEUX	s'adonne au favoritisme politique
PEAUSSIER	concerne la peau
PELLETAGE	pelleter, résultat de cette action
PELLETEUR	Manœuvre qui fait du pelletage
PELOTEUSE	Ouvrière chargée du pelotage
PELUCHEUX	donne, notamment au toucher, la sensation de la
PENDAISON	pendre quelque chose ou quelqu’un ou de se
PENDILLER	Être suspendu, pendre
PERCEPTIF	a trait à la perception, qui perçoit, qui
PERCHAUDE	Espèce de poisson
PERCUTANT	fait forte impression
PERCUTEUR	Pièce agissant par percussion
PERDITION	Dégât, dissipation
PERFORANT	passe à travers un autre organe
PERMANENT	est constamment en fonctions, en organisation
PERMISSIF	a tendance à tolérer sans punir
PERSUASIF	a l’art, le talent de persuader
PERTINENT	peut se transformer en élément dangereux pour la
PERTURBER	Dérégler le comportement normal d'un mécanisme, d'un système
PESAMMENT	D’une manière pesante
PESANTEUR	Qualité de ce qui a du poids
PHTISIQUE	est atteint de phtisie
PHYLARQUE	À Athènes et dans d'autres cités, chef d'une
PHYSIATRE	Médecin spécialisé en physiatrie, rééducateur
PHYTOCIDE	Composé chimique ou mélange destiné à détruire ou
PIAILLARD	a l’habitude de piailler
PIANOTAGE	tapoter sur les touches d'un clavier
PICIFORME	a la forme ou la consistance de la
PILONNAGE	pilonner ou résultat de cette action
PILOSISME	Développement ou implantation anormal des poils
PILULAIRE	est en forme ou façon de pilule
PINARDIER	Affecté au transport du vin
PIQUETAGE	faire le piquet de grève
PIRATERIE	Détournement illégal d’un navire
PIRIFORME	est en forme de poire
PISCICOLE	concerne le poisson et sa biologie
PISCIVORE	se nourrit principalement de poissons
PISOLITHE	Concrétion calcaire sphérique à structure concentrique
PISSEMENT	Écoulement d’urine, action de pisser
PISTONNER	apprécier, kiffer
PITONNAGE	pitonner, résultat de cette action
PITOYABLE	excite la pitié
PITUITEUX	est sujet à la pituite
PIZZICATO	Manière de jouer un pizzicato
PLACOTAGE	placoter, de bavarder
PLAGIAIRE	s’approprie ce qu’il a pillé dans les ouvrages
PLAIDABLE	peut être plaidé
PLAIGNANT	se plaint en justice de quelque tort qu’on
PLANITUDE	État d’une surface plane
PLANTAIRE	concerne la plante des pieds
PLATEMENT	D’une manière plate
PLATINAGE	platiner, c’est-à-dire d’appliquer une couche de platine
PODCASTER	Télécharger ces fichiers
POLARISER	attirer à soi ou vers soi
POLISSURE	polir quelque chose ou résultat de cette action
POLITISTE	Spécialiste de la science politique
POLLUTION	Émission involontaire de sperme
POLONAISE	Raclée, correction
POLYAMINE	Composé organique possédant plusieurs fonctions amine
POLYANDRE	a plusieurs maris
POLYGONAL	a plusieurs angles
POLYPHONE	a le caractère de la polyphonie
POLYTONAL	comporte plusieurs tonalités au sein d'une même pièce
PONDAISON	pondre, ponte (ponte des œufs)
PORTEMENT	État de santé
PORTUAIRE	Doté d'un port
POSSESSIF	marque la possession de la chose dont on
POSTFACER	Écrire une postface pour
POSTNATAL	suit la naissance
POTASSEUR	Élève qui potasse
POTENTIEL	Énergie issue de la position dans un champ
POUDINGUE	(par extension) Agglomérat de matières diverses
POUDROYER	Réduire en poudre
POUILLEUX	a des poux
POULINAGE	mettre bas pour une jument
POURSUITE	Compétition de cyclisme sur piste
POURSUIVI	est chassé
PRESCRIRE	Acquérir par prescription
PRESSPAHN	Matériau de type carton ou papier servant d'isolant
PRIEURALE	Église tenue par un prieur ou entretenue par
PRIMATIAL	appartient au primat, qui se rapporte au primat
PRINCESSE	Épouse d’un prince
PROCESSIF	aime à intenter, à prolonger des procès
PROCESSUS	Tâche en train de s’exécuter
PROCONSUL	Hominoïde fossile du miocène, cousin des
PRODUCTIF	produit ; qui rapporte
PROENZYME	Protéine inactive pouvant être activée pour donner une
PROFECTIF	vient des ascendants, père, mère ou autres
PROFITANT	permet d’obtenir un profit
PROFITEUR	profite sans vergogne
PROJECTIF	concerne la projection
PROMENADE	se promener
PROMISCUE	a le caractère de la promiscuité, qui est
PRONONCER	Réciter, débiter, faire entendre
PROPULSIF	provoque une propulsion
PROSCRIRE	Éloigner, chasser, bannir
PROTESTER	Déclarer que l'on considère
PROUVABLE	Vérifiable, que l'on peut prouver
PROVISION	Réserve, quantité, dose, en parlant des choses morales
PSALMODIE	Manière monotone de déclamer, de débiter des vers
PSYCHOTER	S’inquiéter inutilement
PUBLIABLE	peut être rendu public
PUBLIVORE	Passionné par les spots publicitaires
PURGATION	Remède que l’on prend pour se purger
PUSTULEUX	est accompagné de pustules ou qui en a
PYLORIQUE	appartient ou qui a rapport au pylore
PYRIDOXAL	L’une des formes de la vitamine B
PYROLYSER	Décomposer par pyrolyse
PYROPHORE	Préparation chimique qui a la propriété de s’enflammer
QUALIFIER	Dénommer ; nommer
QUARTZEUX	est de la nature du quartz
QUICONQUE	N’importe qui, qui que ce soit
QUINTUPLE	vaut cinq fois autant
RABATTAGE	rabattre des végétaux pour en contrôler le développement
RABOUGRIR	Décroître, rétrécir
RABOUTAGE	rabouter, d’assembler bout à bout
RACHIDIEN	descend du calife
RADIATION	rayer, de radier
RAFFUTAGE	Façon entière que l’on donne à un chapeau,
RAILLERIE	railler ; plaisanterie
RALLUMAGE	rallumer, nouvel allumage
RAMANCHER	Réparer (un membre, une voiture, etc.)
RAMASSAGE	ramasser, de rassembler, de recueillir
RAMENDEUR	Réparateur de filet de pêche
RAMPEMENT	ramper ; reptation
RANIMABLE	est susceptible dʼêtre ranimé
RAPPORTER	Être en relation avec
RARESCENT	se raréfie
RARISSIME	Extrêmement rare
RASSURANT	est propre à rassurer, à rendre la confiance,
RAVALEUSE	Ouvrière qui travaille au ravalement
RAVISSANT	transporte d’admiration
RECADRAGE	recadrer, résultat de cette action
RECEVABLE	peut être utilisé dans une procédure
RECLASSER	Procéder à un reclassement
RECOUPANT	cherche à recouper des renseignements
RECOUVERT	Complètement couvert
RECTITUDE	Qualité de ce qui est droit
RECUEILLI	Rassemblé, collecté
REDONDANT	a de la redondance
REDRESSER	Châtier, mortifier
REJAILLIR	Réfléchir, en parlant de la lumière
REJETABLE	doit être rejeté
REJOINDRE	Être d'accord avec quelqu'un
RELUISANT	reluit, qui a une apparence soignée
REMAILLER	Exécuter le remaillage
REMERCIER	Congédier, renvoyer quelqu’un
REMONTADA	rattraper son retard dans un domaine
REMONTAGE	remonter le cours de quelque chose
REMONTANT	est réconfortant
REMORQUER	Traîner derrière soi, en parlant d'un bateau, des
REMPOTAGE	rempoter, remettre en pot
RENOMMAGE	renommer, principalement en informatique
REPLIABLE	peut se replier
REPRISAGE	repriser ou résultat de cette action
REPTILIEN	appartient aux reptiles
RESSAYAGE	ressayer, nouvel essai
RESSUYAGE	dessécher, de faire partir l’humidité
RESTAURER	Réparer ; remettre en bon état
RETASSURE	Défaut pouvant apparaître lors du refroidissement d'une pièce,
RETIRABLE	peut faire l’objet d’un retrait, être retiré
RETOQUAGE	fait de retoquer, rejet d’une loi après examen
REVENANTE	Rescapée ; survivant qui revient
REWRITING	Réécriture d’un texte ou de données textuelles
RICHELIEU	Pâtisserie aux amandes
RIPISYLVE	Caractérise une végétation broussailleuse et arbustive, propre aux
ROBORATIF	redonne des forces, de l'énergie
RODAILLER	Rôder plus ou moins
ROMANISTE	Spécialiste du droit romain
ROTATOIRE	concerne la rotation
ROUISSAGE	faire rouir le manioc
ROUTINIER	relève de la routine
RUBELLITE	Variété d’elbaïte gemme de couleur rouge à rose
RUBESCENT	est un peu rouge ; qui commence à
RUDOLOGIE	Étude systématique des déchets, des biens et des
RUSSISANT	a certains caractères russes
RUTILANCE	État de ce qui est rutilant
SABORDAGE	couler volontairement un bateau par l’équipage qui le
SACCAREUX	tient de la nature du sucre
SACCHARIN	se rapporte au sucre
SACRIFICE	Cérémonie ; sacrement
SAINEMENT	D’une manière saine
SALIVAIRE	sécrète de la salive
SALONNARD	Habitué des salons, mondain, snob
SALONNIER	concerne les salons et les salonniers
SANSONNET	Espèce de maquereau de petite taille
SAOULERIE	se saouler
SARDINADE	Préparation culinaire à base de sardines
SARDINIER	Pêcheur de sardines
SARMENTER	Récupérer les sarments de vigne coupés, après la
SATANISME	Caractère de ce qui est satanique
SATELLITE	Périphérique, situé autour
SATINETTE	Étoffe où il entre du coton et qui
SATINEUSE	Ouvrière qui satine le papier
SATISFAIT	est content
SAUMURAGE	mettre dans la saumure
SAUTEREAU	Élément du clavier de la vielle à roue
SAVAMMENT	D’une manière savante ; avec connaissance
SAVONNEUX	est couvert de savon
SAVOUREUX	a une bonne saveur, une saveur agréable
SCHEIDAGE	Opération de triage manuel du minerai
SCHISTEUX	est de la nature du schiste
SCIAPHILE	se plaît à l’ombre
SCIATIQUE	a rapport à la hanche, à l’os ischion
SCOPITONE	Vidéoclip diffusé sur cet appareil
SCORIFIER	Réduire en scories certaines matières étrangères au métal
SCRABBLER	Réussir un scrabble, un coup où l’on place
SCRATCHER	Égratigner, faire une rayure
SCRIPTEUR	sert à écrire
SECOURANT	apporte du secours
SECOUREUR	porte secours
SEGMENTAL	Composé de segments
SENSATION	Succès, impression produite
SEPTEMBRE	Neuvième mois de l’année du calendrier grégorien, qui
SEPTENNAL	arrive ou qui est renouvelé tous les sept
SERFOUAGE	sarcler à la serfouette
SERVIABLE	aime à rendre service, qui rend service, aidant
SEVENTIES	Décennie des années 1970
SEXOLOGIE	Étude de la sexualité et de ses troubles
SEXUATION	sexuer, d’attribuer un genre sexuel, processus de différentiation
SIBILANCE	Caractère des râles qui sont sibilants ou sifflants
SIDATIQUE	est affecté par le sida
SIDOLOGUE	Spécialiste du sida
SIMIESQUE	rappelle le singe
SINAPISME	Révulsif dont la farine de moutarde fait ordinairement
SINGULIER	est rare ou excellent
SINOLOGUE	Spécialiste de la langue ou de la littérature
SITOLOGIE	Étude des sites et de leur préservation
SITUATION	État général des affaires
SLAVISANT	a certains caractères slaves
SOBREMENT	D’une manière sobre ; avec sobriété
SOTTEMENT	D’une sotte façon
SOURICIER	attrape les souris
SPATHIQUE	rappelle le spath, en a l'apparence
SPATIONEF	Véhicule spatial
SPIRITUEL	a de l’esprit
SPONGILLE	Éponge fluviatile
SPONSORAT	sponsoriser (commanditer), mécénat
SQUIRREUX	est de la nature du squirre
STAFFEUSE	Ouvrière qui travaille le staff
STAGIAIRE	fait son stage
STANNIQUE	contient de l'étain
STATUAIRE	rappelle une statue
STELLAIRE	a rapport aux étoiles
STERCORAL	concerne les matières excrémentielles
STOCKABLE	peut être stocké
STRIPPING	Éveinage des varices
STRONTIUM	Métal gris-jaune, mou et malléable, forme métallique pure
STYLOBATE	Piédestal, soubassement qui porte des colonnes
STYPTIQUE	empêche l'écoulement du sang
SUBSTITUT	Mère porteuse
SUCCULENT	ravit l'esprit, savoureux
SUCRERIES	Témoignages d'amabilité affectée
SUDATOIRE	provoque la transpiration, la sueur
SUFFUSION	Épanchement, diffuse
SUGGESTIF	fait rêver
SUICIDANT	a tenté de se suicider
SULFUREUX	sent le soufre, qui est socialement réprouvé
SURCOSTAL	est sur les côtes
SURHUMAIN	est au-dessus de l’humain, soit au physique, soit
SURMENAGE	État de celui qui est surmené
SURMENANT	est cause de surmenage
SURPIQURE	surpiquer, résultat de cette action
SURSOLIDE	Cinquième puissance d'un nombre ou la quatrième multiplication
SURVIVANT	survit à un autre
SUSPECTER	Soupçonner ; tenir pour suspect
SUSPENSIF	suspend, qui arrête et empêche d’aller en avant,
SUSPICION	Soupçon ; action de tenir pour suspect
SYMPOSIUM	Congrès scientifique réunissant des spécialistes et traitant d’un
SYNAGOGAL	appartient à la synagogue et aux pratiques qui
SYNAGOGUE	Judaïsme, communion des juifs, par opposition au christianisme
SYNDIQUER	Réunir en un syndicat
TABOUISER	Considérer comme tabou
TACITURNE	est de tempérament, d’humeur à parler peu
TANGERINE	Variété de mandarine
TAPINEUSE	Prostituée qui tapine, qui racole sur la voie
TAPONNAGE	taponner les cheveux
TAPUSCRIT	Écrit tapé à l’aide d’un clavier (ordinateur ou
TARAUDANT	provoque un violent tourment
TARAVELLE	Pièce de bois qui permet de manœuvrer un
TARISSANT	est en train de tarir
TECHNIQUE	est propre, particulier à un métier, à un
TELLURIEN	provient de la terre
TENDINEUX	a rapport au tendon, qui est de la
TENSORIEL	a un rapport avec les tenseurs
TERRICOLE	vit sur la terre ou dans la terre
THERMIDOR	Cuisiné avec une sauce crème, moutarde, et fromage
TIQUETURE	État d’un objet tiqueté
TITANIQUE	Désigne les composés tétravalents du titane
TONDAISON	tondre, tonte
TONOLOGIE	Système prosodique d’une langue ayant des tons
TORTURANT	cause un supplice, une torture
TOURAILLE	Étuve pour sécher le grain ou le malt
TOURNANTE	Fusée qui s’élève en tournant
TOURNEUSE	Épouse d’un tourneur
TOUTEFOIS	Néanmoins ; cependant ; mais ; pourtant
TRACASSER	ou Inquiéter ou tourmenter quelqu’un
TRACTABLE	peut être tracté
TRAITABLE	est accommodant, maniable
TRAVELAGE	Densité des traverses sur une voie ferrée
TRAVERSIN	Fléau de balance
TRAVESTIR	Déguiser, changer, modifier pour empêcher une identification
TRENTAINE	L’âge de trente ans
TRIALCOOL	Composé chimique comportant trois fois la fonction alcool
TRICENNAL	dure trente ans ou a lieu tous les
TRICHROME	comporte trois couleurs
TRILINGUE	sait parler trois langues
TRILOBITE	Crustacé de l’époque primaire
TRIMBALER	Traîner, mener, porter partout
TRIMOTEUR	comporte trois moteurs
TRIPTYQUE	Œuvre littéraire ternaire,
TRISTESSE	Mélancolie de tempérament
TRITICALE	Espèce de céréale, croisement du blé et du
TRIVALENT	considère trois valeurs de vérité
